Id,Timestep,Fitness,EvaluationTime
32,59,0,58
11,60,0,59
24,65,0,64
4,73,0,72
37,75,0,74
42,80,0,79
46,99,0,98
16,105,0,104
47,105,0,104
40,163,0,162
20,166,0,165
39,170,0,169
21,199,0,198
5,201,0,200
19,210,0,209
35,216,0,215
4,240,0,115
22,242,0,241
44,251,0,250
13,259,0,258
39,274,0,52
32,295,0,184
46,307,0,156
42,316,0,184
21,319,0,68
16,329,0,172
29,334,0,333
1,339,0,338
8,354,0,353
43,361,0,360
38,372,0,371
4,373,3.7037,81
39,401,0,75
13,421,0,110
14,431,0,430
18,433,0,432
46,449,0,90
24,468,0.2849,351
42,468,0,100
4,497,0,72
31,505,0,504
35,508,0,240
15,530,0,529
38,542,0,118
3,543,0,542
16,554,0,173
21,577,0,206
13,584,0,111
42,588,0,68
36,589,0,588
46,591,0,90
32,600,0,253
48,602,0,601
19,610,0,348
40,615,0,400
12,639,0,638
24,641,0,121
39,651,0,198
38,674,0,80
16,680,2.7027,74
3,690,0,95
15,691,0,109
21,697,0,68
46,702,0,59
42,719,3.79747,79
14,719,0,236
37,734,0,607
19,735,0,73
36,745,0,104
13,746,0,110
34,756,0,755
6,767,0,766
8,768,0.828729,362
48,788,0,134
33,794,0,793
49,796,0.125786,795
46,806,0,52
38,806,0,80
24,814,0,121
27,820,0,819
42,871,0,100
7,872,0,871
39,872,0,169
14,880,0,109
4,909,1.94444,360
13,909,0,111
8,919,0,99
37,934,0,148
21,947,0,198
12,949,0,258
3,955,0,213
46,956,1.02041,98
19,960,0,173
30,985,0,984
39,1035,0,111
47,1037,0,880
14,1041,0,109
36,1051,0,254
26,1064,0.188147,1063
12,1106,0,105
19,1107,0,95
5,1110,0,857
45,1116,0,1115
11,1132,0,1020
37,1134,0,148
47,1154,0,65
26,1169,1.88679,53
24,1199,0,333
14,1202,0,109
32,1205,0,553
21,1205,0,206
36,1207,0,104
13,1219,0,258
38,1229,0,371
10,1235,0,1234
16,1236,0,504
49,1253,0,405
11,1266,0,82
25,1314,0,1313
30,1317,0,280
4,1321,0,360
21,1325,2.94118,68
17,1326,0,1325
3,1359,0,352
14,1363,0,109
11,1377,0,59
13,1382,0,111
32,1441,0,184
6,1478,0,659
11,1488,0,59
4,1488,0,115
24,1505,0.787402,254
14,1519,0,104
7,1526,0,602
0,1541,0,1540
13,1543,0,109
48,1611,0,771
32,1614,0,121
3,1624,0,213
49,1626,0,321
33,1637,0,791
40,1686,0,1019
26,1700,0,479
42,1718,0,795
8,1764,0,793
48,1772,0,109
12,1796,0,638
15,1803,0,1060
27,1804,0,932
28,1806,0,1805
46,1827,0,819
36,1847,0,588
13,1849,0.787402,254
32,1850,0,184
7,1852,2.18978,274
39,1853,0,766
26,1863,0,111
18,1884,0,1399
4,1900,0,360
22,1926,0,1632
14,1942,0,371
39,1957,0,52
47,1961,0,755
19,1971,0,812
26,1973,0,58
33,1977,0,288
36,2009,0,110
13,2012,0,111
9,2032,0,2031
4,2033,0,81
20,2037,0,1819
28,2038,0,180
10,2043,0,756
38,2047,0,766
46,2052,0,173
23,2053,0,2052
37,2066,0.113636,880
47,2078,0,65
12,2106,0,258
3,2106,0,430
49,2110,0,432
42,2121,0,351
4,2166,0,81
10,2167,0,72
16,2168,0,880
13,2175,0,111
8,2178,0,362
19,2190,0,167
45,2199,0,1031
20,2211,0,122
3,2253,0,95
46,2260,1.92308,156
39,2262,0,253
42,2273,0,100
44,2280,0.101163,1977
4,2286,0,68
33,2317,0,288
29,2327,0,1941
9,2369,0,285
28,2376,0,286
43,2384,0,1971
31,2387,0,1830
16,2392,0,172
45,2393,0,142
3,2400,0,95
46,2402,0,90
22,2411,0,433
12,2416,0,258
14,2424,0,430
13,2434,0,207
38,2437,0,338
19,2451,0,209
8,2470,0,240
49,2483,0,321
48,2483,0,659
21,2492,0.0896861,1115
6,2495,0,965
29,2502,0,123
26,2504,0,479
42,2509,0,184
20,2513,0,250
31,2527,0,88
9,2539,0,118
11,2560,0,1020
43,2561,0,125
3,2563,0,111
12,2573,0,105
22,2574,0,111
19,2576,0,73
39,2594,0,280
40,2595,0,857
46,2610,0,156
5,2633,0,1471
38,2639,0,150
15,2646,0,791
0,2648,0,1055
36,2649,0,588
33,2657,0,288
11,2671,0,59
8,2684,0,162
29,2685,0,131
6,2695,0,148
4,2698,0,360
41,2711,0,2710
12,2713,0,88
16,2718,0,274
39,2721,0,75
1,2739,0,2348
13,2740,0,254
20,2749,0,184
46,2752,0,90
24,2753,0,1196
40,2758,0,111
38,2771,0,80
7,2775,0.574053,871
15,2802,0,104
41,2838,0,75
16,2852,0,82
36,2881,0,180
32,2886,0,984
5,2891,0,206
46,2902,0,98
14,2906,0,430
28,2907,0,479
2,2930,0,2929
39,2942,0,169
13,2973,0,181
19,2976,0,348
11,2977,0,254
6,2987,0,240
33,2997,0,288
37,2998,0,880
49,3014,0,479
38,3037,0,214
46,3044,0,90
39,3046,0,52
29,3070,0,333
23,3076,0,971
14,3076,0,118
16,3077,0,173
11,3111,0,82
9,3133,0,542
3,3157,0,542
23,3184,0,56
36,3187,0,254
28,3188,0,229
13,3194,0,169
37,3198,0.675676,148
38,3207,0,118
33,3233,0.543478,184
39,3267,0,169
4,3292,0,542
48,3326,0,791
36,3343,0,104
13,3356,0,110
15,3383,0,529
3,3422,0,213
44,3422,0.0917431,1090
49,3437,0,371
39,3444,0,125
10,3453,0,1234
45,3476,0,1031
36,3499,0,104
35,3511,0.0338868,2951
13,3519,0,111
4,3524,0,180
28,3526,0,286
47,3529,0,1399
9,3547,0,362
14,3558,0,430
3,3569,0,95
32,3576,2.82132,638
8,3582,0,846
26,3619,0,1063
38,3630,0,371
47,3646,0,65
27,3653,0,1797
39,3665,0,169
24,3685,0.113636,880
6,3698,0,659
34,3710,0.275672,2902
9,3717,0,118
16,3718,0,589
8,3733,0,99
5,3738,0.125786,795
42,3776,0,1215
30,3789,0,2420
28,3793,0,215
35,3803,0,240
34,3824,0,62
40,3829,0,1019
49,3840,0,351
14,3846,0,236
45,3881,0,353
0,3920,0,1220
16,3926,0,156
42,3928,0,100
21,3941,0,1397
48,3979,0,601
17,3985,0,2607
24,3991,0,254
45,4007,0,74
9,4032,1.14068,263
40,4037,1.28205,156
23,4072,0,836
33,4076,0,791
28,4086,0,241
12,4090,0,1325
35,4095,0,240
42,4102,0,122
5,4111,0,321
18,4116,0,2180
36,4139,0,588
8,4147,0,362
16,4150,0,172
3,4163,0,542
22,4166,0,1540
13,4173,0,602
21,4199,0,206
42,4233,0,79
12,4260,0,118
37,4270,0,1020
16,4276,0,74
24,4283,0,240
18,4286,0,118
1,4293,0,1502
45,4333,0,274
22,4340,0,122
35,4362,0,215
25,4363,0,2997
8,4364,0,165
9,4369,0,285
32,4383,0,755
42,4385,0,100
17,4391,0,354
16,4402,0,74
31,4409,0,1830
33,4416,0,288
37,4470,2.02703,148
13,4479,0,254
12,4496,0,184
6,4505,0,755
42,4505,0,68
8,4534,0,118
33,4550,0,82
24,4559,0,224
47,4578,0,880
43,4584,0,1971
46,4591,0,1495
20,4620,0,1819
36,4621,0,430
16,4627,0,173
7,4632,0,1805
41,4635,0,1745
45,4643,0,258
4,4645,0,1069
38,4653,0,971
44,4708,0.162075,1234
